Depth,CALI,CGR,DT,ILD,NPHI,PEF,PHIE,RHOB,RT,SGR,SW,Φda,ΦN,ΦND,Vpreal,ΔVp
3167.87,8.875,2.585,73.575,100.86500000000001,0.11499999999999999,4.45,0.09,2.605,101.255,67.08500000000001,0.165,0.13243243243243247,0.11499999999999999,0.12403097531053003,4.1427276090730984,0.6832813828138142
3168.02,8.879999999999999,2.13,73.09,101.86500000000001,0.11,4.51,0.09,2.61,102.495,66.2,0.17,0.12972972972972985,0.11,0.120270118432944,4.170291363820793,0.6688171190942152
3168.17,8.809999999999999,2.05,72.27000000000001,103.48,0.11,4.545,0.08499999999999999,2.615,103.8,64.985,0.175,0.12702702702702706,0.11,0.11882549457298876,4.217703697640455,0.6865822168667512
3168.32,8.795,2.34,71.215,104.305,0.11,4.5649999999999995,0.08,2.62,102.82499999999999,63.55,0.18,0.1243243243243243,0.11,0.11738087071303352,4.280276230360446,0.7102817274140318
3168.47,8.809999999999999,2.955,70.10499999999999,100.555,0.11,4.5649999999999995,0.08499999999999999,2.62,98.33,62.05,0.18,0.1243243243243243,0.11,0.11738087071303352,4.348017289836239,0.7362476224001839
3168.62,8.785,3.725,69.125,94.9,0.11,4.55,0.09,2.615,93.5,60.535,0.16999999999999998,0.12702702702702706,0.11,0.11882549457298876,4.409586000834312,0.7601332712596962
3168.77,8.75,4.415,68.405,91.33000000000001,0.11499999999999999,4.525,0.1,2.5999999999999996,91.205,58.95,0.15000000000000002,0.13513513513513525,0.11499999999999999,0.1254723031278004,4.455886648576273,0.8072364538730228
3168.92,8.735,4.855,68.03999999999999,91.005,0.13,4.5,0.11499999999999999,2.575,91.86500000000001,57.230000000000004,0.125,0.1486486486486487,0.13,0.13964461298473946,4.479725651097484,0.9013206607574169
3169.07,8.75,5.02,67.96000000000001,93.195,0.15000000000000002,4.48,0.13,2.545,93.67500000000001,55.405,0.10500000000000001,0.16486486486486496,0.15000000000000002,0.1576137684217721,4.484991268385189,1.011319885450235
3169.22,8.675,5.05,68.03,94.42500000000001,0.165,4.47,0.14500000000000002,2.5149999999999997,94.22,53.745,0.09,0.18108108108108117,0.165,0.1732317498523088,4.480379789680695,1.0861378350286164
3169.37,8.61,5.185,68.14,93.905,0.18,4.465,0.155,2.49,93.35499999999999,52.635,0.08,0.19459459459459463,0.18,0.18745739651960355,4.473145936542542,1.1548429475557527
3169.52,8.635,5.59,68.22,92.5,0.19,4.455,0.165,2.475,91.81,52.269999999999996,0.07500000000000001,0.2027027027027027,0.19,0.1964583952418345,4.467898841150051,1.1995533155616247
3169.67,8.65,6.225,68.27000000000001,90.735,0.195,4.425000000000001,0.17,2.47,90.23,52.545,0.07,0.20540540540540533,0.195,0.20028670918617425,4.464626133860282,1.2204302856165432
3169.82,8.655000000000001,6.8100000000000005,68.315,89.445,0.2,4.365,0.17,2.475,89.195,53.075,0.07500000000000001,0.2027027027027027,0.2,0.20136035995999554,4.461685439787016,1.2414680792593924
3169.97,8.665,7.015000000000001,68.39500000000001,88.81,0.2,4.27,0.165,2.49,88.66499999999999,53.38,0.08,0.19459459459459463,0.2,0.19733482759658977,4.456468997768858,1.2384270008839922
3170.12,8.690000000000001,6.635,68.56,88.445,0.2,4.154999999999999,0.16,2.505,88.43,53.08,0.08,0.18648648648648658,0.2,0.19336638437734588,4.445752401120613,1.2321868818041055
3170.27,8.705,5.71,68.825,88.41499999999999,0.2,4.05,0.16,2.5199999999999996,88.405,52.055,0.08,0.17837837837837853,0.2,0.18951928951820465,4.4286457816772415,1.2222443653407489
3170.42,8.719999999999999,4.529999999999999,69.12,88.395,0.195,3.975,0.155,2.54,88.245,50.41,0.08,0.16756756756756772,0.195,0.18180291181012231,4.409740313182802,1.1890875432390544
3170.57,8.745000000000001,3.4299999999999997,69.355,88.02,0.185,3.935,0.15,2.565,87.46,48.345,0.08499999999999999,0.15405405405405415,0.185,0.17024519428234597,4.394788722995143,1.1356365654689649
3170.72,8.79,2.66,69.42,86.6,0.16999999999999998,3.92,0.15,2.59,86.0,46.07,0.09,0.14054054054054055,0.16999999999999998,0.1559751912409229,4.3906663342418994,1.0631180873899497
3170.87,8.825,2.335,69.16,85.07,0.16,3.92,0.14500000000000002,2.615,84.39,43.76,0.095,0.12702702702702706,0.16,0.14452718550604898,4.407220518394038,1.0240868093379776
3171.02,8.815000000000001,2.4,68.545,83.335,0.155,3.915,0.135,2.635,82.675,41.614999999999995,0.1,0.11621621621621625,0.155,0.13698888670394524,4.446854126353946,1.0185812437909876
3171.17,8.82,2.7199999999999998,67.64,81.65,0.14500000000000002,3.895,0.13,2.645,81.275,39.985,0.10500000000000001,0.11081081081081084,0.14500000000000002,0.12904422910655938,4.506475683660964,0.9955819738120291
3171.32,8.870000000000001,3.175,66.515,80.685,0.14,3.865,0.125,2.6550000000000002,80.35,39.25,0.11499999999999999,0.10540540540540544,0.14,0.12392530381266573,4.582804159751921,1.0053277289453841
3171.47,8.9,3.715,65.36,79.825,0.135,3.84,0.11499999999999999,2.66,79.03999999999999,39.72,0.125,0.10270270270270267,0.135,0.11996252528244009,4.663732936800593,1.014213569192884
3171.62,8.775,4.365,64.29,77.82,0.13,3.8200000000000003,0.11,2.665,76.845,41.515,0.14,0.10000000000000003,0.13,0.11598402821021293,4.741327449796739,1.0210694666406273
3171.77,8.690000000000001,5.17,63.385000000000005,75.32499999999999,0.125,3.81,0.10500000000000001,2.6799999999999997,75.195,44.415,0.155,0.09189189189189198,0.125,0.10970657756683416,4.808886101092468,1.0200571589452285
3171.92,8.715,6.140000000000001,62.894999999999996,74.985,0.11499999999999999,3.81,0.1,2.6950000000000003,76.025,47.915,0.16,0.08378378378378379,0.11499999999999999,0.10061138264494346,4.846185698359612,0.9709778819630328
3172.07,8.75,7.18,62.894999999999996,77.63,0.11,3.815,0.1,2.705,79.94,51.349999999999994,0.16,0.07837837837837838,0.11,0.09551967261935759,4.846185698359612,0.9373126106150249
3172.22,8.79,8.13,63.285,83.5,0.11,3.825,0.1,2.71,86.685,54.099999999999994,0.15000000000000002,0.07567567567567574,0.11,0.09441082535644432,4.81640486303063,0.9248191579302074
3172.37,8.765,8.815000000000001,63.815,91.59,0.11,3.83,0.1,2.705,95.59,55.745,0.135,0.07837837837837838,0.11,0.09551967261935759,4.776376913043267,0.9080987195603658
3172.52,8.715,9.11,63.935,101.755,0.11,3.83,0.1,2.6950000000000003,107.465,56.209999999999994,0.13,0.08378378378378379,0.11,0.09778636362692136,4.7673600545797665,0.9043397699366451
3172.67,8.649999999999999,8.995000000000001,63.35,116.275,0.11,3.825,0.1,2.685,123.705,55.7,0.13,0.08918918918918921,0.11,0.10014768927129142,4.811619126177803,0.9228403246285919
3172.82,8.61,8.84,62.89,125.14,0.11,3.82,0.1,2.68,133.03,55.24,0.13,0.09189189189189186,0.11,0.10135117117101099,4.846557481316585,0.9374669220011369
3172.97,8.58,8.26,61.57,145.2,0.11,3.82,0.09,2.67,156.15,53.84,0.13,0.09729729729729739,0.11,0.10384306443224475,4.950462887770018,0.9815733564974347
3173.12,8.64,7.53,60.27,173.05,0.11,3.83,0.09,2.66,185.24,52.32,0.13,0.10270270270270267,0.11,0.10641392094655598,5.0572424091587855,1.0276444303035985
3173.27,8.65,6.76,59.41,204.05,0.1,3.84,0.08,2.67,221.8,50.84,0.13,0.09729729729729739,0.1,0.09865790404564317,5.130449419289683,0.9817608567667131
3173.42,8.73,6.4399999999999995,59.12,226.62,0.1,3.855,0.08,2.67,239.665,50.16,0.13,0.09729729729729739,0.1,0.09865790404564317,5.1557397529900735,0.9922074310963489
3173.57,8.785,5.905,58.61,259.79499999999996,0.095,3.89,0.07500000000000001,2.675,281.765,48.89,0.13,0.09459459459459463,0.095,0.09480438466984423,5.200551008407743,0.9689546703012675
3173.72,8.76,5.545,58.28,315.66499999999996,0.09,3.93,0.07,2.685,342.84000000000003,47.82,0.125,0.08918918918918921,0.09,0.08960579683198211,5.229943133706142,0.9390799897322375
3173.87,8.765,5.325,58.18,384.775,0.09,3.96,0.07,2.6950000000000003,433.88,46.995000000000005,0.11499999999999999,0.08378378378378379,0.09,0.08695871593540165,5.238913870826137,0.9425552740921574
3174.02,8.76,5.23,58.3,509.63,0.09,3.9800000000000004,0.07,2.705,548.53,46.445,0.1,0.07837837837837838,0.09,0.08440179262465006,5.228148972341725,0.9383849236805015
3174.17,8.75,5.23,58.599999999999994,608.535,0.09,3.99,0.07500000000000001,2.71,554.9200000000001,46.18,0.095,0.07567567567567574,0.09,0.08314688174841574,5.201419868390212,0.9280582461667084
3174.32,8.75,5.359999999999999,59.045,472.21999999999997,0.095,3.99,0.08,2.71,414.045,46.25,0.10500000000000001,0.07567567567567574,0.095,0.08591135902697253,5.162260734824584,0.9536161644694552
3174.47,8.780000000000001,5.744999999999999,59.555,324.29499999999996,0.1,3.99,0.08499999999999999,2.71,310.46000000000004,46.815,0.10500000000000001,0.07567567567567574,0.1,0.08867583630552932,5.118052021395465,0.976679271525219
3174.62,8.775,6.48,59.99,289.11,0.10500000000000001,3.9800000000000004,0.09,2.7,281.54499999999996,48.085,0.1,0.08108108108108114,0.10500000000000001,0.09381002183855058,5.080892551080749,0.9994906099685013
3174.77,8.71,7.540000000000001,60.269999999999996,269.875,0.11499999999999999,3.97,0.09,2.685,258.53,50.225,0.1,0.08918918918918921,0.11499999999999999,0.10290912245025192,5.057256331509952,1.0640863001736711
