Depth,CALI,CGR,DT,ILD,NPHI,PEF,PHIE,RHOB,RT,SGR,SW,Φda,ΦN,ΦND,Vpreal,ΔVp
3164.74,8.75,7.38,80.9,65.71,0.22,3.85,0.16,2.54,66.3,46.56,0.09,0.16756756756756758,0.22,0.19554908552651343,3.7676143386897403,0.9217291077883565
3164.89,8.72,7.26,80.5,67.2,0.22,3.76,0.16,2.53,69.25,46.69,0.09,0.17297297297297312,0.22,0.19788841474314367,3.7863354037267083,0.9321355722818163
3165.04,8.69,7.12,79.69,72.42,0.23,3.68,0.17,2.53,72.42,47.63,0.09,0.17297297297297312,0.23,0.20349404091902654,3.824821182080562,0.9858093593846746
3165.19,,,,,,,,,,,,,,,,
3165.2,8.68,7.18,78.24,72.43,0.22,3.62,0.16,2.53,71.82,48.86,0.09,0.17297297297297312,0.22,0.19788841474314367,3.8957055214723932,0.9936001620988213
3165.35,8.67,7.59,76.34,70.86,0.22,3.57,0.16,2.53,70.28,49.82,0.09,0.17297297297297312,0.22,0.19788841474314367,3.9926643961226094,1.0490223924372621
3165.5,8.67,8.16,74.51,69.37,0.21,3.56,0.15,2.54,69.02,49.96,0.1,0.16756756756756758,0.21,0.1899722212594664,4.090726077036639,1.0688022576739202
3165.65,8.67,8.61,73.19,68.47,0.2,3.57,0.15,2.54,68.64,49.08,0.1,0.16756756756756758,0.2,0.1844978180094704,4.164503347451838,1.071719842297198
3165.8,,,,,,,,,,,,,,,,
3165.81,8.65,8.65,72.44,68.91,0.19,3.6,0.14,2.55,69.42,47.35,0.11,0.1621621621621623,0.19,0.17663035814534747,4.207620099392601,1.0548341040514422
3165.96,8.66,8.08,71.94,70.22,0.19,3.62,0.14,2.56,71.09,45.33,0.11,0.15675675675675677,0.19,0.17417330563105388,4.236864053377815,1.070814738628055
3166.11,8.74,7.07,71.69,72.42,0.18,3.65,0.13,2.57,73.65,43.83,0.11,0.15135135135135147,0.18,0.16629376349683148,4.2516390012554055,1.0359674555175413
3166.26,8.76,6.12,71.6,75.53,0.18,3.68,0.13,2.58,77.5,43.57,0.12,0.14594594594594595,0.18,0.16386003041934444,4.256983240223464,1.03880602931038
3166.41,8.76,5.67,71.6,80.54,0.18,3.73,0.12,2.59,82.54,45.15,0.12,0.14054054054054066,0.18,0.16148009712566339,4.256983240223464,1.03880602931038
3166.56,,,,,,,,,,,,,,,,
3166.57,8.77,5.95,71.68,85.62,0.17,3.77,0.12,2.59,87.46,48.56,0.12,0.14054054054054066,0.17,0.15596737404891345,4.252232142857142,0.9921438381030612
3166.72,8.81,6.78,71.78,90.3,0.17,3.82,0.12,2.59,91.25,53.21,0.11,0.14054054054054066,0.17,0.15596737404891345,4.2463081638339375,0.9891114475327791
3166.87,8.82,7.66,71.93,92.72,0.17,3.86,0.12,2.59,93.32,58.2,0.11,0.14054054054054066,0.17,0.15596737404891345,4.237453079382733,0.9845841407592899
3167.02,8.83,7.93,72.15,94.26,0.16,3.92,0.12,2.59,94.14,62.61,0.12,0.14054054054054066,0.16,0.15058493207394183,4.224532224532225,0.9331688139540768
3167.17,,,,,,,,,,,,,,,,
3167.18,8.83,7.5,72.52,93.96,0.16,4.0,0.11,2.59,93.6,65.68,0.12,0.14054054054054066,0.16,0.15058493207394183,4.202978488692775,0.9226244515326485
